fecha_info,codigo_entidad,nombre_entidad,sector,tipo_persona,tipo_segmento,deudores_total,deudores_irregulares,pct_irregular_cantidad,credito_total_miles_pesos,credito_irregular_miles_pesos,pct_irregular_monto,registros_situacion_1,registros_situacion_2,registros_situacion_3,registros_situacion_4,registros_situacion_5,registros_situacion_11
202604,55477,MERITE S.A.,No Financiero,persona_fisica,Familias,3422,2791,81.56,363248.0,283254.0,77.98,631,324,429,681,1357,0
202604,55513,IXPAY SA,No Financiero,persona_fisica,Familias,1737,1258,72.42,556249.0,433249.0,77.89,479,270,318,594,76,0
202604,55505,Cash Market SA,No Financiero,persona_fisica,Familias,20014,16198,80.93,5206831.0,3970889.0,76.26,3816,677,1901,4989,8631,0
202604,55100,BAZAR AVENIDA S.A.,No Financiero,persona_fisica,Familias,80219,46804,58.35,77986351.0,57743307.0,74.04,33415,4304,4814,11203,26483,0
202604,55001,Accicom S.A.,No Financiero,persona_fisica,Familias,6138,4025,65.58,1579035.0,1127639.0,71.41,2113,540,609,984,1892,0
202604,55339,MAEBA S.R.L.,No Financiero,persona_fisica,Familias,29334,21199,72.27,31593892.0,22446120.0,71.05,8135,2058,2040,3932,13169,0
202604,55370,CREDIL S.R.L.,No Financiero,persona_fisica,Familias,309322,216541,70.01,174699505.0,123689160.0,70.80,92781,15916,20523,40106,139996,0
202604,55298,ESPACIO DIGITAL S.A,No Financiero,persona_fisica,Familias,49993,39448,78.91,26782250.0,18858950.0,70.42,10545,2034,3036,9572,24806,0
202604,55579,DEAMPRO S.R.L.,No Financiero,persona_fisica,Familias,8772,6281,71.60,1695268.0,1170453.0,69.04,2491,350,503,1031,4397,0
202604,55023,Credifácil S.A.F. y M.,No Financiero,persona_fisica,Familias,41127,31204,75.87,11697905.0,8056101.0,68.87,9923,1951,3217,5658,20378,0
202604,72501,TDF S.A.,No Financiero,persona_fisica,Familias,5150,4288,83.26,1914590.0,1317662.0,68.82,862,67,2,966,3253,0
202604,55340,FINANPRO S.R.L.,No Financiero,persona_fisica,Familias,43664,30771,70.47,52956545.0,36339092.0,68.62,12893,2924,2757,5190,19900,0
202604,55450,PRESTY SRL,No Financiero,persona_fisica,Familias,2484,1439,57.93,1841819.0,1260854.0,68.46,1045,201,403,548,287,0
202604,70229,CONTAR S.A.,No Financiero,persona_fisica,Familias,4916,2484,50.53,2143640.0,1466624.0,68.42,2432,175,288,46,1975,0
202604,55025,Cuotitas S.A.,No Financiero,persona_fisica,Familias,18085,11444,63.28,19527244.0,13253108.0,67.87,6641,1076,1488,2987,5893,0
202604,55329,ALAU TECNOLOGIA S. A. U.,No Financiero,persona_fisica,Familias,18073,11473,63.48,4219662.0,2815972.0,66.73,6600,805,978,3643,6047,0
202604,55095,CRENAC S.A.,No Financiero,persona_fisica,Familias,5863,3680,62.77,2642890.0,1726178.0,65.31,2183,307,391,675,2307,0
202604,70903,Única compañía de Crédito S.A.,No Financiero,persona_fisica,Familias,17755,9334,52.57,9617213.0,6271237.0,65.21,8421,782,965,1665,5922,0
202604,55030,Fravega S.A.C.I. e I.,No Financiero,persona_fisica,Familias,110510,55050,49.81,108226086.0,68045918.0,62.87,55460,9840,11951,18569,14690,0
202604,55107,ARGENCRED S.A.,No Financiero,persona_fisica,Familias,95251,54948,57.69,34063675.0,21274950.0,62.46,40303,4941,6950,13949,29108,0
202604,55376,COMERPYSRL,No Financiero,persona_fisica,Familias,4480,2487,55.51,1129069.0,702669.0,62.23,1993,193,233,422,1639,0
