fecha_info,codigo_entidad,nombre_entidad,sector,tipo_segmento,situacion_codigo,situacion_descripcion,deudores,monto_total_miles_pesos,monto_promedio_miles_pesos,pct_deudores_segmento,pct_monto_segmento,registros_origen
202604,00094,BANCO DE CORRIENTES S.A.,Financiero,Familias,1,Situacion normal,116737,276020835.0,2364.5,87.91,84.56,116737
202604,00094,BANCO DE CORRIENTES S.A.,Financiero,Familias,2,Con seguimiento especial / riesgo bajo,3023,12618095.0,4174.0,2.28,3.87,3023
202604,00094,BANCO DE CORRIENTES S.A.,Financiero,Familias,3,Con problemas / riesgo medio,3298,13759922.0,4172.2,2.48,4.22,3298
202604,00094,BANCO DE CORRIENTES S.A.,Financiero,Familias,4,Con alto riesgo de insolvencia / riesgo alto,4159,15032778.0,3614.5,3.13,4.61,4159
202604,00094,BANCO DE CORRIENTES S.A.,Financiero,Familias,5,Irrecuperable,5569,8989116.0,1614.1,4.19,2.75,5569
202604,00094,BANCO DE CORRIENTES S.A.,Financiero,Total,1,Situacion normal,118265,418706091.0,3540.4,87.85,82.99,118265
202604,00094,BANCO DE CORRIENTES S.A.,Financiero,Total,2,Con seguimiento especial / riesgo bajo,3111,22946239.0,7375.8,2.31,4.55,3111
202604,00094,BANCO DE CORRIENTES S.A.,Financiero,Total,3,Con problemas / riesgo medio,3352,18866234.0,5628.4,2.49,3.74,3352
202604,00094,BANCO DE CORRIENTES S.A.,Financiero,Total,4,Con alto riesgo de insolvencia / riesgo alto,4229,34071889.0,8056.7,3.14,6.75,4229
202604,00094,BANCO DE CORRIENTES S.A.,Financiero,Total,5,Irrecuperable,5672,9913349.0,1747.8,4.21,1.96,5672
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Empresas,1,Situacion normal,1306,271774227.0,208096.7,77.83,94.47,1306
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Empresas,11,Asistencias totalmente cubiertas con garantias preferidas A,27,4021969.0,148961.8,1.61,1.40,27
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Empresas,2,Con seguimiento especial / riesgo bajo,78,5953333.0,76324.8,4.65,2.07,78
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Empresas,3,Con problemas / riesgo medio,63,2589073.0,41096.4,3.75,0.90,63
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Empresas,4,Con alto riesgo de insolvencia / riesgo alto,70,2900417.0,41434.5,4.17,1.01,70
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Empresas,5,Irrecuperable,134,436267.0,3255.7,7.99,0.15,134
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Familias,1,Situacion normal,107121,470720905.0,4394.3,81.25,82.51,107121
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Familias,11,Asistencias totalmente cubiertas con garantias preferidas A,11,473091.0,43008.3,0.01,0.08,11
202604,00097,BANCO PROVINCIA DEL NEUQUÉN SOCIEDAD ANÓNIMA,Financiero,Familias,2,Con seguimiento especial / riesgo bajo,6877,40834786.0,5937.9,5.22,7.16,6877
